entries = 28 
description index 	 amin 	 amax 	 emin 	 emax 	 value 	 interval
mu 	 0 	 0 	 120 	 0 	 3 	 0.000000 	 0.000000 	 0.000000 
b 	 1 	 0 	 120 	 0 	 3 	 0.000000 	 0.000000 	 0.000000 
zeta 	 2 	 0 	 120 	 0 	 3 	 0.000000 	 0.000000 	 0.000000 
chi_i+ 	 3 	 0 	 120 	 0 	 3 	 1.000000 	 1.000000 	 1.000000 
chi_i- 	 4 	 0 	 120 	 0 	 3 	 1.000000 	 1.000000 	 1.000000 
chi_n 	 5 	 0 	 120 	 0 	 3 	 1.000000 	 1.000000 	 1.000000 
<<k>>beta(0) 	 6 	 0 	 120 	 0 	 3 	 1.000000 	 1.000000 	 1.000000 
alfa 	 7 	 0 	 120 	 0 	 3 	 0.000000 	 0.000000 	 0.000000 
alfa_chi 	 8 	 0 	 120 	 0 	 3 	 0.000000 	 0.000000 	 0.000000 
p 	 9 	 0 	 5 	 0 	 3 	 0.096476 	 0.094292 	 0.098643 
p 	 9 	 6 	 15 	 0 	 3 	 0.026051 	 0.025576 	 0.026524 
p 	 9 	 16 	 25 	 0 	 3 	 0.179694 	 0.177889 	 0.181492 
p 	 9 	 26 	 35 	 0 	 3 	 0.271968 	 0.269411 	 0.274515 
p 	 9 	 36 	 45 	 0 	 3 	 0.188136 	 0.185873 	 0.190388 
p 	 9 	 46 	 55 	 0 	 3 	 0.186289 	 0.183390 	 0.189170 
p 	 9 	 56 	 65 	 0 	 3 	 0.113180 	 0.110826 	 0.115517 
p 	 9 	 66 	 120 	 0 	 3 	 0.113180 	 0.110826 	 0.115517 
p_SP 	 10 	 0 	 15 	 0 	 3 	 0.100000 	 0.085000 	 0.115000 
p_SP 	 10 	 16 	 120 	 0 	 3 	 0.500000 	 0.425000 	 0.575000 
p_NP 	 11 	 0 	 15 	 0 	 3 	 0.250000 	 0.212500 	 0.287500 
p_NP 	 11 	 16 	 120 	 0 	 3 	 0.100000 	 0.085000 	 0.115000 
pf_SP 	 12 	 0 	 120 	 0 	 3 	 0.010417 	 0.009854 	 0.010979 
pdef_SP 	 13 	 0 	 120 	 0 	 3 	 0.038408 	 0.037371 	 0.039444 
pdeath_SP 	 14 	 0 	 120 	 0 	 3 	 0.039740 	 0.038686 	 0.040792 
pf_SN 	 15 	 0 	 120 	 0 	 3 	 0.001208 	 0.001080 	 0.001336 
pdef_SN 	 16 	 0 	 120 	 0 	 3 	 0.032819 	 0.032183 	 0.033454 
pdeath_SN 	 17 	 0 	 120 	 0 	 3 	 0.035282 	 0.034625 	 0.035938 
eta 	 18 	 0 	 120 	 0 	 3 	 0.843137 	 0.664281 	 1.021994 
