Year Inc Inc_lo Inc_hi Source_inc Mort Mort_lo Mort_hi Source_mort
2000	5850	3790	8360	Expert_opinion	2170	1490	2990	VR
2001	6660	4310	9510	Expert_opinion	2770	1850	3870	VR
2002	7460	4820	10600	Expert_opinion	2290	1520	3200	VR
2003	8200	5300	11700	Expert_opinion	2730	1820	3820	VR
2004	8830	5710	12600	Expert_opinion	2750	1860	3810	VR
2005	9320	6030	13300	Expert_opinion	2840	1840	4050	VR
2006	9630	6230	13700	Expert_opinion	2740	1800	3870	VR
2007	9770	6320	13900	Expert_opinion	2720	1790	3850	VR
2008	9770	7170	12800	Expert_opinion	2520	1780	3390	VR
2009	9670	7280	12400	Expert_opinion	2310	1640	3100	VR
2010	9480	7100	12200	Expert_opinion	2240	1570	3020	VR
2011	9220	7120	11600	Expert_opinion	1980	1580	2410	VR
2012	8920	6390	11900	Expert_opinion	2110	1610	2680	VR
2013	8490	6080	11300	Expert_opinion	1930	1470	2450	VR
2014	8200	5880	10900	Expert_opinion	1830	1390	2340	VR
2015	7590	5440	10100	Expert_opinion	1620	1230	2060	VR
2016	6180	4430	8220	Expert_opinion	1440	1100	1810	VR
2017	5670	4060	7540	Expert_opinion	1360	1050	1710	VR
2018	5200	3730	6910	Expert_opinion	1100	880	1360	VR
