Year Inc Inc_lo Inc_hi Source_inc Mort Mort_lo Mort_hi Source_mort
2000	7590	4910	10800	Expert_opinion	2330	1500	3350	indirect
2001	7280	4710	10400	Expert_opinion	2390	1530	3440	indirect
2002	6950	5060	9130	Expert_opinion	1670	1090	2370	indirect
2003	6620	5160	8260	Expert_opinion	1370	910	1910	indirect
2004	6310	4760	8080	Expert_opinion	1410	940	1990	indirect
2005	6020	4300	8030	Expert_opinion	1520	990	2160	indirect
2006	5770	4050	7790	Expert_opinion	1490	960	2130	indirect
2007	5540	3590	7920	Expert_opinion	1490	940	2170	indirect
2008	5340	3450	7620	Expert_opinion	1520	1070	2040	indirect
2009	5140	3330	7340	Expert_opinion	1380	980	1850	indirect
2010	4950	3200	7070	Expert_opinion	1320	940	1770	indirect
2011	4750	3080	6790	Expert_opinion	1260	900	1690	indirect
2012	4560	2950	6510	Expert_opinion	1290	920	1720	indirect
2013	4370	2830	6250	Expert_opinion	1220	870	1630	indirect
2014	4060	2630	5810	Expert_opinion	1160	830	1560	indirect
2015	3910	2530	5580	Expert_opinion	1150	810	1540	indirect
2016	3760	2440	5350	Expert_opinion	1010	720	1350	indirect
2017	3610	2340	5140	Expert_opinion	1040	740	1400	indirect
2018	3460	2250	4930	Expert_opinion	1020	720	1370	indirect

